session_id,user_id,use_case,channel,country_code,region,account_tier,segment,total_requests,failed_requests,failure_rate,avg_latency_ms,median_latency_ms,avg_response_quality_score,avg_tokens_per_request,requests_with_tools,share_requests_with_tools,n_retry_requests,escalations_to_human,csat_mean,csat_response_rate,risk_session_flag,total_cost_usd,total_tokens,avg_cost_per_request,cost_per_1k_tokens,avg_tokens_per_second,start_timestamp_utc,end_timestamp_utc,session_duration_seconds,session_duration_minutes,requests_per_minute,total_latency_ms,zero_duration_session_flag,total_latency_seconds,effective_session_duration_seconds,requests_per_minute_effective
S00001,U00408,data_analysis,web_app,AE,EMEA,pro,individual,6,4,0.6667,882.33,835.0,0.608,1511.3,3,0.5,2,1,0.0,0.6666666666666666,True,1.26564,9068,0.21094,0.1395721217468,1711.3517237297783,2025-04-03T15:46:54Z,2025-04-03T16:44:08Z,3434.0,57.23333333333333,0.104834012813046,5294,False,5.294,3434.0,0.104834012813046
S00002,U00408,brainstorming,internal_tool,AE,EMEA,pro,individual,9,1,0.1111,1053.33,1089.0,0.736,1284.8,1,0.1111111111111111,1,0,0.75,0.4444444444444444,False,1.30104,11563,0.14456,0.112517512756204,1433.5606938326212,2025-04-09T09:19:17Z,2025-04-09T11:23:39Z,7462.0,124.36666666666666,0.0723666577325114,9480,False,9.48,7462.0,0.0723666577325114
S00003,U00003,customer_support,mobile_app,CA,AMER,free,individual,3,0,0.0,894.67,659.0,0.751,882.7,1,0.3333333333333333,0,0,1.5,0.6666666666666666,False,0.8473600000000001,2648,0.282453333333332,0.32,1193.3212914845762,2025-02-03T14:28:35Z,2025-02-03T14:40:31Z,716.0,11.933333333333334,0.2513966480446927,2684,False,2.684,716.0,0.2513966480446927
S00004,U00237,data_analysis,web_app,GB,EMEA,free,team,2,1,0.5,952.5,952.5,0.608,1116.0,1,0.5,0,0,-0.5,1.0,False,0.71424,2232,0.35712,0.32,1158.8934127369955,2025-03-06T15:26:57Z,2025-03-06T15:28:39Z,102.0,1.7,1.1764705882352942,1905,False,1.905,102.0,1.1764705882352942
S00005,U00224,data_analysis,mobile_app,FR,EMEA,free,enterprise_team,7,2,0.2857,1392.43,1488.0,0.672,676.9,3,0.4285714285714285,2,2,2.0,0.1428571428571428,False,0.35932,4738,0.051331428571428,0.075837906289572,523.4064972652648,2025-04-02T13:52:48Z,2025-04-02T14:42:31Z,2983.0,49.71666666666667,0.1407978545088836,9747,False,9.747,2983.0,0.1407978545088836
S00006,U00153,brainstorming,web_app,AE,EMEA,free,team,5,0,0.0,1202.6,962.0,0.799,1071.6,0,0.0,0,0,1.6666666666666667,0.6,False,0.458839999999996,5358,0.0917679999999959,0.085636431504292,892.5563524600317,2025-03-23T05:40:05Z,2025-03-23T05:54:07Z,842.0,14.033333333333331,0.3562945368171021,6013,False,6.013,842.0,0.3562945368171021
S00007,U00094,customer_support,mobile_app,IN,APAC,pro,individual,7,3,0.4286,1386.86,1334.0,0.738,1560.1,5,0.7142857142857143,1,1,0.8333333333333334,0.8571428571428571,False,2.39524,10921,0.3421771428571399,0.219324237707168,1129.1862162600114,2025-03-22T09:34:57Z,2025-03-22T12:05:21Z,9024.0,150.4,0.0465425531914893,9708,False,9.708,9024.0,0.0465425531914893
S00008,U00299,customer_support,mobile_app,US,AMER,free,individual,6,4,0.6667,1049.17,965.0,0.601,806.5,1,0.1666666666666666,3,3,-2.0,0.3333333333333333,True,0.26392,4839,0.0439866666666639,0.0545401942550079,816.2350995965811,2025-03-05T15:31:55Z,2025-03-05T18:53:09Z,12074.0,201.2333333333333,0.0298161338413119,6295,False,6.295,12074.0,0.0298161338413119
S00009,U00247,customer_support,internal_tool,DE,EMEA,free,team,10,2,0.2,1069.7,1004.0,0.744,1111.7,6,0.6,0,2,1.1666666666666667,0.6,False,2.15556,11117,0.215556,0.193897634253844,1129.1857172599916,2025-02-26T07:29:56Z,2025-02-26T08:48:24Z,4708.0,78.46666666666667,0.1274426508071368,10697,False,10.697,4708.0,0.1274426508071368
S00010,U00031,internal_qa,api,US,AMER,pro,team,2,1,0.5,983.5,983.5,0.752,1031.5,0,0.0,0,1,-0.5,1.0,True,0.6966,2063,0.3483,0.337663596703828,1390.5692752843013,2025-02-05T20:28:23Z,2025-02-05T20:32:33Z,250.0,4.166666666666667,0.48,1967,False,1.967,250.0,0.48
S00011,U00218,coding_assistant,web_app,US,AMER,enterprise,individual,7,2,0.2857,1828.0,1420.0,0.768,1356.9,2,0.2857142857142857,3,0,0.0,0.5714285714285714,False,1.7169599999999998,9498,0.24528,0.180770688566012,947.222620573516,2025-02-13T20:43:16Z,2025-02-13T22:05:33Z,4937.0,82.28333333333333,0.085071906015799,12796,False,12.796,4937.0,0.085071906015799
S00012,U00007,customer_support,web_app,BR,AMER,free,enterprise_team,5,0,0.0,1471.2,1571.0,0.8,995.4,1,0.2,0,1,1.5,0.8,False,0.7929200000000001,4977,0.158584,0.159316857544704,884.1123519906939,2025-03-30T21:15:54Z,2025-03-30T21:42:05Z,1571.0,26.183333333333334,0.1909611712285168,7356,False,7.356,1571.0,0.1909611712285168
S00013,U00052,data_analysis,web_app,IN,APAC,free,individual,5,0,0.0,864.2,897.0,0.849,793.0,2,0.4,0,1,1.5,0.4,False,0.60744,3965,0.121488,0.153200504413616,1026.3276780974954,2025-03-12T01:48:06Z,2025-03-12T02:18:31Z,1825.0,30.416666666666668,0.1643835616438356,4321,False,4.321,1825.0,0.1643835616438356
S00014,U00221,internal_qa,web_app,IN,APAC,free,enterprise_team,6,2,0.3333,1119.5,1000.0,0.716,1131.7,0,0.0,2,2,-0.3333333333333333,0.5,False,1.31892,6790,0.21982,0.194244477172312,1367.9776594161397,2025-02-18T02:17:00Z,2025-02-18T05:02:15Z,9915.0,165.25,0.0363086232980332,6717,False,6.717,9915.0,0.0363086232980332
S00015,U00068,customer_support,web_app,CA,AMER,pro,individual,12,5,0.4167,1215.67,1084.5,0.674,1285.8,5,0.4166666666666667,4,4,0.0,0.5,False,1.4708,15429,0.122566666666664,0.095326981657916,1254.2634583352549,2025-02-03T14:53:23Z,2025-02-03T15:29:38Z,2175.0,36.25,0.3310344827586207,14588,False,14.588,2175.0,0.3310344827586207
S00016,U00227,brainstorming,internal_tool,GB,EMEA,free,team,9,2,0.2222,940.89,893.0,0.718,777.2,1,0.1111111111111111,0,1,0.4,0.5555555555555556,False,1.59924,6995,0.1776933333333319,0.2286261615439559,1018.9677999868544,2025-03-06T12:26:56Z,2025-03-06T14:25:29Z,7113.0,118.55,0.0759173344580345,8468,False,8.468,7113.0,0.0759173344580345
S00017,U00008,content_writing,api,EG,EMEA,free,individual,4,0,0.0,1309.5,1336.0,0.794,927.5,0,0.0,1,1,0.6666666666666666,0.75,False,0.332159999999996,3710,0.083039999999996,0.08953099730458,866.4571135240265,2025-04-18T15:36:00Z,2025-04-18T15:47:52Z,712.0,11.866666666666667,0.3370786516853932,5238,False,5.238,712.0,0.3370786516853932
S00018,U00183,customer_support,web_app,AU,APAC,free,team,4,2,0.5,1034.5,920.5,0.63,815.2,2,0.5,1,1,-0.5,0.5,True,0.26964,3261,0.06741,0.082686292548296,841.4301091748774,2025-03-27T02:07:35Z,2025-03-27T02:10:44Z,189.0,3.15,1.2698412698412698,4138,False,4.138,189.0,1.2698412698412698
S00019,U00354,content_writing,mobile_app,IN,APAC,enterprise,individual,5,0,0.0,1500.4,1580.0,0.831,1255.2,0,0.0,0,1,2.0,0.6,False,0.95592,6276,0.191184,0.152313575525812,1292.0774255584197,2025-04-03T15:11:30Z,2025-04-03T15:39:38Z,1688.0,28.133333333333333,0.1777251184834123,7502,False,7.502,1688.0,0.1777251184834123
S00020,U00177,content_writing,web_app,US,AMER,free,individual,1,0,0.0,1624.0,1624.0,0.917,1501.0,0,0.0,0,0,,0.0,False,0.18012,1501,0.18012,0.12,924.2610837438424,2025-02-07T21:11:28Z,2025-02-07T21:11:28Z,0.0,0.0,,1624,True,1.624,1.624,36.94581280788177
S00021,U00142,customer_support,api,EG,EMEA,free,individual,5,1,0.2,1114.6,1293.0,0.725,796.6,2,0.4,1,0,1.5,0.8,False,0.69384,3983,0.138768,0.174200351493848,840.6360707334028,2025-04-07T02:30:49Z,2025-04-07T02:49:10Z,1101.0,18.35,0.2724795640326975,5573,False,5.573,1101.0,0.2724795640326975
S00022,U00438,customer_support,web_app,GB,EMEA,enterprise,individual,2,0,0.0,1776.5,1776.5,0.821,1985.0,1,0.5,1,1,2.0,0.5,False,1.02632,3970,0.5131600000000001,0.258518891687656,1173.1525774078966,2025-04-14T00:57:50Z,2025-04-14T00:59:47Z,117.0,1.95,1.0256410256410258,3553,False,3.553,117.0,1.0256410256410258
S00023,U00045,data_analysis,mobile_app,BR,AMER,enterprise,individual,6,1,0.1667,1081.67,939.5,0.815,1057.5,3,0.5,0,0,0.4,0.8333333333333334,False,0.3567599999999999,6345,0.05946,0.0562269503546079,1014.6404131757312,2025-03-05T16:24:08Z,2025-03-05T18:06:59Z,6171.0,102.85,0.0583373845405931,6490,False,6.49,6171.0,0.0583373845405931
S00024,U00194,data_analysis,slack,EG,EMEA,free,enterprise_team,6,0,0.0,1176.33,1088.5,0.758,941.5,4,0.6666666666666666,0,1,1.6666666666666667,0.5,False,1.56064,5649,0.260106666666664,0.276268366082492,894.5437157465418,2025-04-10T10:45:58Z,2025-04-10T11:07:08Z,1270.0,21.166666666666668,0.2834645669291338,7058,False,7.058,1270.0,0.2834645669291338
S00025,U00253,customer_support,web_app,IN,APAC,free,individual,3,0,0.0,1262.0,1274.0,0.859,863.0,1,0.3333333333333333,0,0,1.5,0.6666666666666666,False,0.60024,2589,0.20008,0.231842410196984,735.9102451274189,2025-03-20T08:19:18Z,2025-03-20T08:22:24Z,186.0,3.1,0.9677419354838708,3786,False,3.786,186.0,0.9677419354838708
S00026,U00392,customer_support,web_app,DE,EMEA,free,team,8,2,0.25,1235.25,1140.0,0.68,938.4,5,0.625,1,3,0.3333333333333333,0.375,False,1.0711999999999962,7507,0.133899999999996,0.1426934860796559,930.10067874341,2025-03-20T15:16:40Z,2025-03-20T17:55:04Z,9504.0,158.4,0.0505050505050505,9882,False,9.882,9504.0,0.0505050505050505
S00027,U00100,content_writing,api,US,AMER,free,enterprise_team,4,1,0.25,762.5,656.5,0.723,756.2,0,0.0,1,1,1.0,0.75,False,0.37372,3025,0.09343,0.123543801652892,1232.2620315076772,2025-04-22T21:33:36Z,2025-04-22T21:54:13Z,1237.0,20.616666666666667,0.1940177849636216,3050,False,3.05,1237.0,0.1940177849636216
S00028,U00372,customer_support,api,GB,EMEA,free,enterprise_team,6,3,0.5,1041.0,1112.5,0.628,991.8,4,0.6666666666666666,2,3,1.5,0.3333333333333333,True,0.3926,5951,0.065433333333332,0.06597210552848,1210.6711578360644,2025-03-17T13:44:42Z,2025-03-17T16:14:21Z,8979.0,149.65,0.0400935516204477,6246,False,6.246,8979.0,0.0400935516204477
